Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
Andre Drummond,2012,9.0,81.75,83.75,90.25,109.5,33.5,143.0,31.5,141.0,279.0,7.5,9.5,9.5,10.0,10.83,3.39
Andrew Nicholson,2012,19.0,80.5,81.5,88.0,107.0,30.5,137.5,28.5,135.5,234.0,7.6,10.0,10.75,10.0,11.89,3.67
Anthony Davis,2012,1.0,81.25,82.5,89.5,108.0,35.5,35.5,35.5,35.5,222.0,7.9,9.0,8.5,35.5,35.5,35.5
Arnett Moultrie,2012,27.0,81.5,82.75,86.25,106.5,37.5,144.0,33.5,140.0,233.0,7.7,9.25,9.25,10.0,11.32,3.22
Austin Rivers,2012,10.0,75.5,77.0,79.25,96.5,37.5,134.0,32.5,129.0,203.0,6.2,8.5,10.0,1.0,11.54,3.32
Bernard James,2012,33.0,80.75,82.0,87.0,108.5,32.5,141.0,30.0,138.5,230.0,5.0,9.0,9.25,6.0,11.84,3.4
Bradley Beal,2012,3.0,75.25,76.75,80.0,100.0,39.0,139.0,33.0,133.0,202.0,6.0,8.5,9.0,8.0,10.95,3.28
Damian Lillard,2012,6.0,73.75,74.75,79.75,95.5,39.5,135.0,34.5,130.0,189.0,5.9,8.75,9.75,13.0,11.15,3.34
Darius Johnson-Odom,2012,55.0,73.5,75.0,79.0,96.0,41.5,137.5,33.5,129.5,212.0,7.0,8.75,8.75,17.0,10.76,3.21
Darius Miller,2012,46.0,78.0,79.5,81.0,101.0,37.0,138.0,33.0,134.0,233.0,7.5,8.5,8.75,14.0,11.34,3.31
Dion Waiters,2012,4.0,74.5,76.0,79.25,98.0,35.5,35.5,35.5,35.5,221.0,8.5,8.5,9.5,35.5,35.5,35.5
Doron Lamb,2012,42.0,75.25,76.75,78.75,98.5,33.5,132.0,29.0,127.5,199.0,6.7,8.5,8.75,2.0,11.12,3.41
Draymond Green,2012,35.0,77.75,79.5,85.25,105.0,33.0,138.0,28.0,133.0,236.0,11.3,9.0,9.5,9.0,11.01,3.4
Drew Gordon,2012,29.0,80.0,80.75,83.5,103.5,34.0,137.5,29.0,132.5,239.0,9.1,8.5,9.75,10.0,11.35,3.49
Fab Melo,2012,22.0,82.75,84.0,86.5,110.0,31.0,141.0,29.5,139.5,255.0,9.2,9.0,10.0,9.0,12.14,3.44
Festus Ezeli,2012,30.0,81.75,83.5,89.75,108.0,33.5,141.5,34.0,142.0,264.0,5.5,9.0,10.75,18.0,12.35,3.29
Harrison Barnes,2012,7.0,79.0,80.0,83.25,101.5,39.5,141.0,38.0,139.5,228.0,9.6,9.0,8.5,15.0,10.93,3.16
Henry Sims,2012,29.0,82.0,83.75,88.0,108.0,29.5,137.5,26.5,134.5,241.0,7.7,9.25,10.0,7.0,12.33,3.44
Hollis Thompson,2012,29.0,78.75,80.0,81.5,102.5,36.5,139.0,28.5,131.0,206.0,6.0,8.25,9.75,6.0,11.72,3.38
J'Covan Brown,2012,29.0,73.0,74.25,77.25,96.0,29.5,125.5,26.0,122.0,202.0,12.5,7.75,8.25,3.0,11.68,3.47
JaMychal Green,2012,29.0,80.0,81.0,86.25,106.5,32.5,139.0,29.5,136.0,217.0,9.8,9.25,9.25,19.0,10.63,3.38
